EmployeeID,DepartmentID,DepartmentName,RoleName,AnnualSalary,HireDate
285,3,Finance,Executive,60183.0,2022-10-16
286,3,Finance,Manager,53985.0,2022-10-27
287,2,Marketing,Executive,509423.0,2022-10-19
288,5,Operations,Manager,65695.0,2022-11-30
289,1,Sales,Executive,116485.21429852198,2022-06-05
290,3,Finance,Executive,495437.0,2022-07-16
291,2,Marketing,Executive,80810.0,2022-05-29
292,4,Human Resources,Manager,65717.0,2022-09-18
293,2,Marketing,Associate,41117.0,2022-08-08
294,1,Sales,Executive,116485.21429852198,2022-05-21
295,3,Finance,Manager,60795.0,2022-07-13
296,4,Human Resources,Associate,37063.0,2022-10-12
297,5,Operations,Executive,78025.0,2022-09-08
298,5,Operations,Executive,80111.0,2022-09-16
299,2,Marketing,Manager,62851.0,2022-05-10
300,3,Finance,Associate,40371.0,2022-11-20
301,3,Finance,Associate,31154.0,2022-12-24
302,5,Operations,Associate,36273.0,2022-10-18
303,1,Sales,Associate,39391.0,2022-11-29
304,1,Sales,Associate,36370.0,2022-07-01
305,2,Marketing,Associate,34071.0,2022-08-23
306,2,Marketing,Executive,77075.0,2022-12-05
307,3,Finance,Associate,42262.0,2022-06-09
308,1,Sales,Manager,63583.0,2022-10-16
309,4,Human Resources,Associate,39589.53218248652,2022-08-20
310,3,Finance,Manager,59420.0,2022-12-09
311,3,Finance,Associate,35535.0,2022-06-20
312,1,Sales,Associate,42983.0,2022-12-14
313,2,Marketing,Executive,76874.0,2022-06-03
314,2,Marketing,Associate,39737.42929100642,2022-11-01
315,4,Human Resources,Associate,39589.53218248652,2022-06-21
316,1,Sales,Manager,59571.91515860383,2022-11-15
317,3,Finance,Manager,55221.0,2022-06-09
318,5,Operations,Executive,515643.0,2022-07-10
319,3,Finance,Manager,56863.0,2022-07-11
320,4,Human Resources,Associate,43436.0,2022-07-26
321,5,Operations,Executive,91145.0,2022-10-29
322,3,Finance,Manager,60516.0,2022-06-21
323,1,Sales,Manager,66617.0,2022-10-20
324,5,Operations,Associate,51082.0,2022-08-14
325,3,Finance,Manager,55567.0,2022-05-19
326,4,Human Resources,Executive,88570.0,2022-09-01
327,1,Sales,Manager,56577.0,2022-06-06
328,2,Marketing,Manager,66107.0,2022-10-23
329,1,Sales,Associate,37981.0,2022-06-13
330,4,Human Resources,Manager,56385.0,2022-12-29
331,1,Sales,Executive,86448.0,2022-11-26
332,2,Marketing,Executive,89115.0,2022-10-02
333,1,Sales,Associate,36555.0,2022-06-25
334,5,Operations,Manager,63622.0,2022-12-25
335,4,Human Resources,Executive,78127.0,2022-10-01
336,2,Marketing,Manager,57774.0,2022-06-18
337,1,Sales,Manager,43955.0,2022-06-23
338,3,Finance,Associate,35707.0,2022-06-09
339,3,Finance,Associate,37737.0,2022-04-21
340,4,Human Resources,Associate,39341.0,2022-12-13
341,2,Marketing,Associate,38901.0,2022-10-28
342,2,Marketing,Executive,81529.0,2022-05-12
343,3,Finance,Executive,103887.56450456612,2022-07-18
344,5,Operations,Executive,97966.0,2022-11-27
345,4,Human Resources,Associate,40782.0,2022-05-16
346,3,Finance,Executive,79812.0,2022-12-07
347,4,Human Resources,Manager,62985.0,2022-06-14
348,2,Marketing,Associate,40596.0,2022-04-13
349,4,Human Resources,Associate,41109.0,2022-05-31
350,2,Marketing,Associate,44232.0,2022-03-31
351,5,Operations,Executive,80245.0,2022-05-20
352,4,Human Resources,Associate,44351.0,2022-08-24
353,5,Operations,Manager,69129.0,2022-09-25
354,2,Marketing,Associate,34170.0,2022-08-20
355,1,Sales,Associate,34034.0,2022-07-06
357,2,Marketing,Executive,101959.0,2022-06-14
358,5,Operations,Manager,63374.0,2022-08-22
359,1,Sales,Manager,54053.0,2022-04-30
360,3,Finance,Manager,61486.0,2022-05-31
361,3,Finance,Associate,42577.0,2022-05-08
362,4,Human Resources,Associate,39589.53218248652,2022-06-13
363,1,Sales,Associate,42250.0,2022-05-30
364,1,Sales,Executive,84350.0,2022-05-25
365,4,Human Resources,Executive,67696.0,2022-09-16
366,3,Finance,Executive,86846.0,2022-11-24
367,5,Operations,Associate,43989.0,2022-09-04
368,5,Operations,Executive,63746.0,2022-11-28
369,5,Operations,Manager,68880.0,2022-10-19
370,2,Marketing,Manager,60516.6848681298,2022-04-29
371,4,Human Resources,Manager,69536.0,2022-11-27
372,5,Operations,Associate,35126.0,2022-08-08
373,1,Sales,Executive,81846.0,2022-12-19
374,3,Finance,Executive,103887.56450456612,2022-03-11
375,2,Marketing,Executive,89903.0,2022-12-02
376,4,Human Resources,Executive,121462.44142024846,2022-10-25
377,3,Finance,Executive,77836.0,2022-06-10
378,2,Marketing,Associate,37599.0,2022-08-18
379,5,Operations,Associate,33158.0,2022-11-27
380,3,Finance,Executive,76835.0,2022-08-12
381,3,Finance,Executive,103887.56450456612,2022-10-13
382,1,Sales,Associate,40409.06051381489,2022-04-21
383,5,Operations,Manager,62217.0,2022-06-19
384,4,Human Resources,Manager,59758.390308591675,2022-06-23
385,3,Finance,Executive,89610.0,2022-06-14
386,3,Finance,Executive,85943.0,2022-07-31
387,1,Sales,Executive,82583.0,2022-11-28
388,5,Operations,Executive,72294.0,2022-09-24
389,5,Operations,Associate,40366.80635538272,2022-12-29
390,4,Human Resources,Executive,77165.0,2022-03-03
391,2,Marketing,Associate,40691.0,2022-12-03
392,2,Marketing,Associate,39737.42929100642,2022-09-06
393,5,Operations,Executive,108747.97320453949,2022-03-10
394,2,Marketing,Associate,47219.0,2022-12-01
395,2,Marketing,Associate,39737.42929100642,2022-04-21
396,5,Operations,Executive,70314.0,2022-06-02
397,1,Sales,Associate,38794.0,2022-04-15
398,2,Marketing,Associate,37150.0,2022-12-13
399,1,Sales,Executive,87725.0,2022-03-02
400,4,Human Resources,Manager,61878.0,2022-03-05
401,3,Finance,Manager,57605.0,2022-03-23
402,3,Finance,Executive,506522.0,2022-09-08
403,3,Finance,Executive,77180.0,2022-11-10
404,1,Sales,Associate,48077.0,2022-08-09
405,1,Sales,Executive,72806.0,2022-04-18
406,1,Sales,Manager,64187.0,2022-12-15
407,1,Sales,Manager,47216.0,2022-06-23
408,4,Human Resources,Associate,49356.0,2022-10-16
409,5,Operations,Executive,79966.0,2022-07-23
410,5,Operations,Manager,49559.0,2022-12-14
411,3,Finance,Associate,38391.0,2022-11-17
412,3,Finance,Associate,33967.0,2022-09-12
413,1,Sales,Executive,116485.21429852198,2022-05-13
414,2,Marketing,Manager,73181.0,2022-11-30
415,5,Operations,Executive,86883.0,2022-02-08
416,2,Marketing,Associate,45004.0,2022-07-24
417,2,Marketing,Manager,49920.0,2022-11-20
418,5,Operations,Executive,84711.0,2022-04-14
419,2,Marketing,Executive,108332.7343298129,2022-05-31
420,4,Human Resources,Executive,81634.0,2022-09-24
421,3,Finance,Executive,65371.0,2022-08-28
422,3,Finance,Executive,83004.0,2022-08-20
423,2,Marketing,Associate,39220.0,2022-10-16
424,2,Marketing,Associate,39737.42929100642,2022-01-29
425,4,Human Resources,Associate,42474.0,2022-03-19
426,4,Human Resources,Executive,121462.44142024846,2022-12-13
427,2,Marketing,Manager,52171.0,2022-09-07
428,1,Sales,Manager,59571.91515860383,2022-05-10
429,3,Finance,Associate,40998.0,2022-07-06
430,2,Marketing,Associate,35419.0,2022-02-04
431,1,Sales,Executive,89868.0,2022-05-17
432,3,Finance,Manager,58008.88696278488,2022-12-03
433,4,Human Resources,Executive,75989.0,2022-04-09
434,3,Finance,Manager,66804.0,2022-06-20
435,1,Sales,Manager,59571.91515860383,2022-09-15
436,5,Operations,Executive,108747.97320453949,2022-10-22
437,1,Sales,Executive,71347.0,2022-05-28
438,5,Operations,Associate,35719.0,2022-10-20
439,5,Operations,Executive,83878.0,2022-05-05
440,1,Sales,Associate,52213.0,2022-02-20
441,3,Finance,Executive,94567.0,2022-06-14
442,3,Finance,Manager,60043.0,2022-10-29
443,4,Human Resources,Associate,43818.0,2022-02-03
444,2,Marketing,Associate,32775.0,2022-09-03
445,3,Finance,Associate,36834.0,2022-03-30
446,2,Marketing,Manager,57181.0,2022-09-10
447,5,Operations,Associate,51209.0,2022-06-20
448,3,Finance,Executive,84399.0,2022-10-09
449,5,Operations,Associate,46650.0,2022-02-09
450,3,Finance,Executive,81637.0,2022-07-28
451,1,Sales,Manager,59571.91515860383,2022-01-26
452,5,Operations,Associate,41039.0,2022-06-16
453,1,Sales,Associate,40409.06051381489,2022-10-29
454,4,Human Resources,Executive,74384.0,2022-08-18
455,1,Sales,Manager,55515.0,2022-11-10
456,5,Operations,Executive,108747.97320453949,2022-05-23
457,4,Human Resources,Associate,43833.0,2022-10-12
458,3,Finance,Associate,33170.0,2022-05-06
459,3,Finance,Executive,79873.0,2022-05-03
460,3,Finance,Executive,82022.0,2022-11-20
461,5,Operations,Executive,494361.0,2022-07-05
462,2,Marketing,Associate,47861.0,2022-04-21
463,1,Sales,Executive,68651.0,2021-12-30
464,3,Finance,Associate,36967.0,2022-05-23
465,1,Sales,Associate,43658.0,2022-10-20
466,5,Operations,Associate,45527.0,2022-02-22
467,5,Operations,Associate,36249.0,2022-01-12
468,1,Sales,Associate,45463.0,2022-05-16
469,3,Finance,Executive,90660.0,2022-01-13
470,4,Human Resources,Associate,40331.0,2022-04-22
471,3,Finance,Associate,41307.0,2022-10-28
472,4,Human Resources,Manager,53626.0,2022-06-05
473,5,Operations,Manager,55265.0,2022-11-21
474,5,Operations,Manager,59326.31530065456,2022-09-12
475,1,Sales,Associate,40592.0,2022-08-29
476,5,Operations,Executive,73850.0,2022-08-06
477,2,Marketing,Associate,41752.0,2022-12-10
478,5,Operations,Associate,35689.0,2022-04-21
479,2,Marketing,Associate,49906.0,2022-12-17
480,1,Sales,Manager,52239.0,2022-11-09
481,1,Sales,Manager,72416.0,2022-05-15
482,5,Operations,Manager,58643.0,2022-09-11
483,5,Operations,Executive,79286.0,2022-10-01
484,5,Operations,Executive,93037.0,2022-09-28
485,3,Finance,Executive,70642.0,2022-08-23
486,2,Marketing,Associate,42106.0,2022-09-02
487,2,Marketing,Executive,509335.0,2022-11-03
488,4,Human Resources,Executive,76194.0,2022-11-16
489,3,Finance,Manager,72052.0,2022-01-15
490,3,Finance,Manager,54069.0,2022-12-15
491,1,Sales,Associate,40693.0,2022-03-24
492,2,Marketing,Executive,108332.7343298129,2022-06-14
493,5,Operations,Executive,108747.97320453949,2022-07-05
494,4,Human Resources,Executive,521415.0,2022-06-19
495,3,Finance,Manager,55676.0,2022-07-23
496,4,Human Resources,Associate,38800.0,2022-09-04
497,5,Operations,Associate,35076.0,2022-05-09
498,5,Operations,Executive,88421.0,2022-08-18
499,3,Finance,Associate,41156.18296487692,2022-02-05
500,3,Finance,Associate,46725.0,2022-11-15
501,5,Operations,Associate,45771.0,2022-07-23
502,2,Marketing,Manager,68495.0,2022-01-02
503,5,Operations,Manager,56963.0,2022-12-18
504,2,Marketing,Manager,52114.0,2022-02-15
505,5,Operations,Associate,46187.0,2022-01-16
506,1,Sales,Manager,59571.91515860383,2022-10-28
507,2,Marketing,Manager,54127.0,2022-12-23
508,4,Human Resources,Manager,59758.390308591675,2021-12-05
509,5,Operations,Manager,64282.0,2022-05-17
510,1,Sales,Manager,59989.0,2022-11-01
511,4,Human Resources,Manager,59758.390308591675,2022-12-02
512,1,Sales,Manager,50401.0,2022-10-20
513,4,Human Resources,Associate,31058.0,2022-12-10
514,1,Sales,Associate,37252.0,2022-10-01
515,3,Finance,Executive,81008.0,2022-03-04
516,3,Finance,Executive,76984.0,2021-12-27
517,3,Finance,Associate,41156.18296487692,2022-02-21
518,5,Operations,Manager,57551.0,2021-11-17
519,2,Marketing,Associate,40705.0,2022-03-16
520,5,Operations,Associate,46781.0,2022-10-26
521,5,Operations,Associate,34755.0,2022-06-14
522,1,Sales,Executive,88656.0,2021-11-12
523,2,Marketing,Manager,60125.0,2022-06-23
524,1,Sales,Executive,88223.0,2022-03-03
525,2,Marketing,Executive,86635.0,2022-05-29
526,4,Human Resources,Associate,45118.0,2022-11-04
527,2,Marketing,Associate,29368.0,2022-04-19
528,4,Human Resources,Executive,121462.44142024846,2022-03-24
529,2,Marketing,Executive,71624.0,2021-12-15
530,1,Sales,Manager,56923.0,2022-11-21
531,5,Operations,Manager,72090.0,2022-08-30
532,4,Human Resources,Associate,41504.0,2022-10-27
533,2,Marketing,Associate,48751.0,2022-10-18
534,3,Finance,Associate,30461.0,2022-12-31
535,3,Finance,Associate,41118.0,2022-08-24
536,3,Finance,Executive,103887.56450456612,2022-03-27
537,2,Marketing,Associate,36871.0,2022-04-06
538,3,Finance,Associate,37753.0,2022-04-30
539,1,Sales,Manager,67013.0,2022-04-27
540,4,Human Resources,Executive,76075.0,2021-10-20
541,2,Marketing,Associate,44642.0,2022-06-26
542,2,Marketing,Associate,39737.42929100642,2022-09-26
543,5,Operations,Executive,82890.0,2022-06-12
544,4,Human Resources,Manager,50557.0,2022-11-02
545,5,Operations,Associate,49722.0,2022-11-12
546,5,Operations,Associate,41735.0,2022-05-12
547,2,Marketing,Associate,41309.0,2022-04-09
548,1,Sales,Executive,79864.0,2022-09-29
549,1,Sales,Executive,67744.0,2021-10-31
550,3,Finance,Executive,90847.0,2022-12-04
551,4,Human Resources,Executive,121462.44142024846,2022-12-27
552,4,Human Resources,Executive,121462.44142024846,2022-04-09
553,2,Marketing,Manager,54476.0,2022-10-07
554,2,Marketing,Executive,108332.7343298129,2022-09-30
555,4,Human Resources,Manager,66218.0,2022-11-25
556,3,Finance,Associate,35419.0,2022-06-02
557,1,Sales,Associate,41773.0,2021-11-09
558,2,Marketing,Manager,75700.0,2021-12-17
559,4,Human Resources,Associate,35017.0,2022-06-11
560,1,Sales,Associate,40409.06051381489,2022-04-21
561,4,Human Resources,Executive,485945.0,2021-11-09
562,5,Operations,Executive,81603.0,2022-12-11
563,5,Operations,Manager,55997.0,2022-06-23
